DPS Summary,Crit dmg:,279.50%,,,Sequence,Important Note,,,,Comparison tab:,2/4/26,,,,,,,,,,,,,,,,,,,,,
,Attack Speed:,37.00%,,Avoid Using,Unusable/Unfeasible,Impractical,,,,,,,,,,,,,,,,,,,,,,,,,,
Preawk,Shift+Z,Petal Snare,,74161.3885,130,2.167,34228.33315,,,82360.2664,109,1.817,45335.92646,,,42.16%,"14,430.67",0.00%,,19206,30.00%,93%,100%,51267.5361,53680.77,,10744,0.00%,63%,93%,22893.8524,28679.4964
Preawk,SHIFT+Z,Constricting Charm,,55553.42,100,1.667,33332.052,,,55553.42,84,1.400,39681.01429,,,37.84%,"12,612.85",0.00%,,19876,50.00%,100%,100%,55553.42,55553.42,,0,0.00%,63%,93%,0,0
Prime,A/D+LMB,Bared Claws (1),,11504.22,21,0.350,32869.2,40.00%,,11504.22,17,0.283,40603.12941,40.00%,,55.30%,"18,176.67",0.01%,,4116,50.00%,100%,100%,11504.22,11504.22,,0,0.00%,63%,93%,0,0
Preawk,Space,Charmed,,15751.2432,29,0.483,32588.77903,40.00%,,19731.8352,24,0.400,49329.588,40.00%,,54.06%,"17,617.49",0.01%,,7392,0.00%,63%,93%,15751.2432,19731.8352,,0,0.00%,63%,93%,0,0
Preawk,E,"Foxflare Fling (2 hit, cancelled fast)",,24596,46,0.767,32081.73913,,,24596,38,0.633,38835.78947,,,100.00%,"32,081.74",0.00%,,8800,100.00%,100%,100%,24596,24596,,0,0.00%,63%,93%,0,0
Preawk,F,Soulsnare,,20250.4425,38,0.633,31974.38289,,,23557.6582,32,0.533,44170.60913,,,54.06%,"17,285.35",-28.57%,,3298,30.00%,93%,100%,8803.5163,9217.91,,5372,0.00%,63%,93%,11446.9262,14339.7482
Preawk,LMB,Spirit Sparks (full from slot),,65827.84,142,2.367,27814.58028,,,65827.84,120,2.000,32913.92,,,32.43%,"9,020.27",0.00%,,23552,50.00%,100%,100%,65827.84,65827.84,,0,0.00%,63%,93%,0,0
Preawk,E,"Foxflare Fling (2 hit, cancelled)",,24596,54,0.900,27328.88889,,,24596,45,0.750,32794.66667,,,100.00%,"27,328.89",0.00%,,8800,100.00%,100%,100%,24596,24596,,0,0.00%,63%,93%,0,0
Preawk,LMB,Flow: Nether River,,12925.7361,38,0.633,20409.057,,,16192.2771,32,0.533,30360.51956,,,86.49%,"17,651.79",0.00%,,6066,0.00%,63%,93%,12925.7361,16192.2771,,0,0.00%,63%,93%,0,0
Preawk,E,"Foxflare Fling (1 hit, cancelled fast)",,12298,46,0.767,16040.86957,,,12298,38,0.633,19417.89474,,,100.00%,"16,040.87",0.00%,,4400,100.00%,100%,100%,12298,12298,,0,0.00%,63%,93%,0,0
Preawk,S+RMB,Petalblast,,17429.62,71,1.183,14729.25634,,,17429.62,60,1.000,17429.62,,,58.38%,"8,598.94",0.00%,,6236,50.00%,100%,100%,17429.62,17429.62,,0,0.00%,63%,93%,0,0
Preawk,E,Foxflare Fling (3 hit),,36894,158,2.633,14010.37975,,,36894,133,2.217,16643.90977,,,100.00%,"14,010.38",0.00%,,13200,100.00%,100%,100%,36894,36894,,0,0.00%,63%,93%,0,0
Preawk,E,"Foxflare Fling (1 hit, cancelled)",,12298,54,0.900,13664.44444,,,12298,45,0.750,16397.33333,,,100.00%,"13,664.44",0.00%,,4400,100.00%,100%,100%,12298,12298,,0,0.00%,63%,93%,0,0
Preawk,E,Foxflare Fling (2 hit),,24596,158,2.633,9340.253165,,,24596,133,2.217,11095.93985,,,100.00%,"9,340.25",0.00%,,8800,100.00%,100%,100%,24596,24596,,0,0.00%,63%,93%,0,0
Preawk,E,Foxflare Fling (1 hit),,12298,158,2.633,4670.126582,,,12298,133,2.217,5547.969925,,,100.00%,"4,670.13",0.00%,,4400,100.00%,100%,100%,12298,12298,,0,0.00%,63%,93%,0,0
